,BW,BY,BE,NW,HB,HH,HE,MV,NI,BB,RP,SL,SN,ST,SH,TH
2020-02-28,10,15,0,25,0,0,2,0,0,0,0,0,0,0,1,0
2020-02-29,14,15,0,30,0,0,5,0,0,0,1,0,0,0,1,0
2020-03-01,15,19,0,66,1,1,10,0,1,0,2,0,0,0,2,0
2020-03-02,19,25,0,86,1,1,12,0,1,1,2,0,0,0,2,0
2020-03-03,26,35,3,101,1,2,12,0,1,1,2,0,1,0,2,1
2020-03-04,48,50,7,115,3,3,12,4,7,1,7,1,1,0,2,1
2020-03-05,73,70,13,181,3,5,14,4,18,1,8,1,1,0,7,1
2020-03-06,96,117,19,329,4,11,16,5,18,2,10,2,2,0,7,1
2020-03-07,134,170,28,373,4,13,17,5,19,2,13,3,4,0,8,2
2020-03-08,182,172,40,398,4,13,19,8,21,4,19,9,4,0,8,2
2020-03-09,204,256,48,484,4,17,26,10,38,6,17,6,12,0,9,2
2020-03-10,277,314,58,648,22,35,35,13,66,16,25,7,24,8,9,8
2020-03-11,335,366,90,801,32,54,48,17,78,24,29,14,26,15,27,10
2020-03-12,454,500,137,1041,38,88,99,23,129,30,52,29,49,27,31,18
2020-03-13,569,558,174,1433,42,99,148,33,230,44,102,40,83,42,48,30
2020-03-14,827,681,216,1636,53,158,203,45,253,61,162,40,99,45,60,46
2020-03-15,977,886,283,2100,56,196,282,50,287,84,200,74,130,54,103,51
2020-03-16,1105,1067,332,2744,57,260,342,51,391,94,325,85,152,77,123,67
2020-03-17,1641,1352,383,3375,66,312,381,69,563,114,435,101,247,105,145,71
2020-03-18,2184,1798,519,4268,75,414,547,100,740,171,603,169,296,133,196,114
2020-03-19,2748,2282,688,4971,119,506,740,133,981,204,749,217,389,174,253,166
2020-03-20,3665,3107,868,6301,127,664,962,167,1262,265,890,255,562,217,321,215
2020-03-21,3818,3695,1025,6849,168,768,1166,182,1452,315,1062,301,650,253,383,277
2020-03-22,4457,4300,1071,7361,173,887,1267,187,1586,353,1149,318,731,269,436,328
2020-03-23,5333,5719,1219,8224,175,989,1352,201,1779,385,1285,383,865,303,467,377
2020-03-24,6043,6362,1425,9087,195,1237,1620,219,2071,443,1480,433,1018,377,544,437
2020-03-25,7252,7689,1645,9764,212,1450,1909,245,2313,505,1637,466,1018,420,609,479
2020-03-26,8441,8842,1937,10948,244,1614,2170,265,2726,579,1873,540,1275,500,685,572
2020-03-27,9729,10180,2152,12114,263,1759,2392,309,3175,696,2101,614,1505,561,821,668
2020-03-28,10819,11862,2337,12744,278,1935,2776,348,3483,747,2357,669,1700,594,917,702
2020-03-29,11536,13263,2462,13630,290,2078,2943,356,3786,833,2545,726,1816,635,1007,749
2020-03-30,12257,14437,2581,14442,297,2214,3100,366,4026,894,2686,800,1930,682,1053,777
2020-03-31,13313,15505,2777,15241,315,2290,3301,412,4348,945,2839,961,2084,752,1135,840
2020-04-01,14580,17151,2993,16344,330,2437,3582,445,4717,1038,3036,1073,2245,806,1252,887
2020-04-02,15971,19153,3223,17614,341,2557,3882,468,5059,1124,3276,1252,2411,838,1343,985
2020-04-03,17180,20962,3486,18557,354,2739,4097,501,5455,1311,3466,1318,2646,898,1448,1074
2020-04-04,18515,23049,3626,19405,388,2882,4325,523,5764,1388,3627,1410,2843,912,1568,1074
2020-04-05,19287,24350,3687,20523,394,3019,4575,528,6009,1452,3847,1542,3006,958,1638,1156
2020-04-06,20029,25355,3862,20814,395,3088,4668,531,6218,1511,3917,1605,3097,989,1678,1188
2020-04-07,20635,26567,4038,21825,422,3217,4845,555,6444,1574,4052,1700,3181,1024,1735,1264
2020-04-08,21450,28053,4212,22849,442,3370,5114,571,6845,1613,4247,1842,3339,1077,1830,1319
2020-04-09,22298,29262,4357,23605,451,3518,5384,585,7104,1782,4407,1987,3487,1123,1934,1359
2020-04-10,23478,30862,4446,24499,454,3642,5694,600,7411,1867,4592,2072,3601,1137,2032,1420
2020-04-11,23938,31773,4553,25651,477,3739,5815,604,7670,1920,4701,2095,3708,1168,2069,1444
